US state,Percentage of US states job postings in AI in 2023
AL,1.05%
AK,1.06%
AZ,0.94%
AR,1.34%
CA,1.60%
CO,1.03%
CT,1.09%
DE,2.38%
FL,0.71%
GA,1.14%
HI,1.25%
ID,1.43%
IL,1.26%
IN,0.62%
IA,0.75%
KS,1.19%
KY,0.52%
LA,0.59%
ME,1.55%
MD,2.10%
MA,1.88%
MI,1.20%
MN,0.80%
MS,0.79%
MO,0.92%
MT,0.75%
NE,0.81%
NV,0.79%
NH,0.87%
NJ,1.63%
NM,1.14%
NY,1.43%
NC,0.98%
ND,1.03%
OH,0.75%
OK,0.89%
OR,0.91%
PA,1.06%
RI,1.74%
SC,0.58%
SD,1.01%
TN,0.64%
TX,1.11%
UT,0.94%
VT,1.14%
VA,2.09%
WA,1.65%
DC,2.66%
WV,0.46%
WI,0.69%
WY,0.95%